REL,ENABLE,DISABLE,BURN1,BURN2,END
1,310242,310261,326251,326272,
2,310753,310770,326740,326763,
3,310356,310375,326345,326366,
4,305251,305272,325414,325437,305303
5,305320,305345,325452,325471,305366
6,305464,305515,325546,325565,305536
7,307440,307463,325452,325471,
8,305553,305570,325607,325624,305612
9,306641,306662,324653,324670,
10,307342,307361,325350,325373,
11,310454,310477,326447,326464,
14,306713,306730,324701,324722,
15,307117,307134,325105,325126,302516
17,310051,310072,326042,326061,
19,310204,310227,326217,326234,
20,311157,311174,327144,327167,
22,307701,307722,325713,325730,
23,310715,310736,326706,326725,
24,310506,310525,326515,326536,
25,310540,310563,326553,326570,
27,310601,310622,326612,326631,
28,310647,310664,326654,326677,
29,307210,307233,325202,325221,
31,307045,307066,325057,325074,
32,310145,310166,326156,326175,
33,306755,306776,324747,324764,
35,311043,311060,327050,327073,
37,307003,307020,325011,325032,
39,170371,170416,152363,152404,
40,213555,213576,232630,232655,
41,372037,372052,351560,351602,
43,371325,371340,351071,351100,
44,371766,372014,351526,351543,
46,371277,371306,351037,351052,
47,371022,371047,350572,350610,
48,371672,371703,351432,351457,
49,371064,371115,350633,350656,
50,370732,370757,350466,350517,
51,370774,371001,350534,350551,
52,372123,372146,351667,351716,
55,371427,371442,351165,351207,310753
57,372432,372457,352170,352212,
58,372621,372644,352363,352404,
59,373236,373253,352766,353013,
60,371363,371404,351123,351146,310736
61,373063,373112,352634,352651,
62,373131,373154,352672,352703,
63,373177,373215,352720,352745,
64,371136,371153,350675,350704,
65,373270,373301,353030,353055,
66,371170,371212,350727,350742,310770
67,372735,372750,352461,352510,
68,372773,373006,352533,352556,311005
69,373025,373040,352575,352617,
71,372330,372355,352064,352115,
72,372262,372313,352022,352047,
73,372224,372241,351773,352001,
74,372165,372207,351735,351750,
75,373322,373347,353076,353107,
77,204102,204121,225221,225244,
78,204205,204226,225335,225350,
80,372526,372543,352277,352306,
82,204144,204167,225267,225316,
83,522222,522247,542665,542714,
84,522163,522201,542623,542646,
85,522125,522140,542562,542600,
86,522077,522106,542524,542541,
87,522031,522054,542476,542507,
88,521760,522012,542430,542455,
89,521726,521743,542374,542413,
90,521674,521705,542332,542357,
91,521632,521657,542260,542311,562615
92,521573,521611,542226,542243,
94,521467,521516,542121,542144,562577
95,521421,521444,542073,542102,
96,521365,521402,535675,535704,
97,521323,521346,535633,535656,
98,521271,521300,535572,535610,
99,521237,521252,535534,535551,
100,521176,521214,535466,535517,
101,521130,521155,535420,535445,
102,521062,521113,535364,535403,562554
103,521024,521041,535322,535347,
104,520772,521007,535270,535301,
105,520734,520751,535236,535253,
106,520666,520717,535177,535215,
107,520620,520645,535131,535154,
108,520561,520603,535063,535112,
109,641256,641275,643345,643366,641304
110,674321,674344,653473,653502,674367
111,675525,675540,654334,654351,675563
112,674250,674273,653435,653450,674302
113,675375,675412,654220,654245,675431
114,675310,675333,654161,654203,675356
115,674174,674216,653371,653416,674235
116,675227,675242,654127,654142,675261
117,674111,674132,653337,653352,674157
118,675145,675166,654075,654104,675204
119,675072,675103,654033,654056,675120
120,674026,674043,653265,653314,674060
121,674400,674423,653521,653544,674446
122,675017,675034,653774,654010,675051
123,674724,674741,653732,653757,674762
124,674655,674676,653660,653711,674707
125,674552,674613,653626,653643,674630
126,674465,674514,653567,653605,674537
127,305654,305677,325776,326004,
128,305706,305725,326027,326042,
129,305740,305763,326061,326110,
130,306011,306032,326133,326156,
131,306057,306074,326175,326217,
132,306105,306126,326234,326251,
133,306143,306160,326272,326303,
134,306202,306221,326320,326345,
135,306244,306267,326366,326401,
136,306316,306335,326422,326447,
137,306350,306373,326464,326515,
138,306414,306437,326536,326553,
139,306452,306471,326570,326612,
140,306500,306523,326631,326654,
141,306546,306565,326677,326706,
142,306607,306624,326725,326740,
143,306641,306662,326763,327016,
144,306713,306730,327035,327050,
145,306755,306776,327073,327102,
146,307003,307020,327121,327144,
147,307045,307066,327167,327205,
148,307117,307134,327226,327243,
166,305401,305422,325500,325523,305447
